rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
232,23218,Pierre Strong Jr.,RB,CLE,3,2,,,1,3,3,1,0,,0,0,0,2,0,2,5,,8.6,3.5,5,7,3.9,1.6,14,22
233,24986,Cade Stover,TE,HOU,0,1,0,1,2,1,1,3,2,2,2,4,1,,,,1,1,3.3,1.0,1,2,4.4,1.5,15,22
234,24217,Trey Palmer,WR,TB,2,0,1,3,,,3,2,4,1,,1,1,0,0,4,0,0,3.7,1.3,2,4,4.3,1.5,12,22
235,20931,Drew Sample,TE,CIN,0,3,0,1,0,0,1,0,4,0,2,,2,2,1,1,1,4,4.8,2.0,6,6,3.4,1.3,20,22
236,23840,Kevin Austin Jr.,WR,NO,,,,,,,,,,2,2,,3,5,3,4,2,1,6.5,2.3,3,7,8.4,2.8,11,22
237,21786,Adam Trautman,TE,DEN,1,0,1,0,1,0,3,4,1,1,1,2,1,,2,1,3,0,4.0,1.3,2,4,3.9,1.3,13,22
238,18900,Mo Alie-Cox,TE,IND,1,1,1,0,4,4,1,1,0,0,3,0,2,,0,2,1,1,4.5,1.3,1,4,4.3,1.3,12,22
239,24372,Roschon Johnson,RB,CHI,,0,5,0,0,3,,0,3,2,1,1,0,,,0,0,5,5.1,1.7,5,5,4.2,1.4,16,20
240,24609,Emari Demercado,RB,ARI,2,0,0,1,1,7,0,1,2,0,,0,2,4,,,,,10.5,4.0,0,0,5.1,1.5,16,20
241,24471,Ryan Miller,WR,TB,,,,,,1,,5,3,3,,1,0,0,1,2,4,0,5.6,2.0,4,6,5.4,1.8,12,20
242,18019,Nick Vannett,TE,TEN,2,0,2,0,,0,4,1,2,0,1,1,1,2,1,0,1,2,3.3,1.0,3,3,3.8,1.2,17,20
243,24463,Julian Hill,TE,MIA,1,2,2,0,0,,2,3,,1,3,2,1,1,0,0,0,1,1.0,0.3,0,1,3.4,1.2,12,19
244,18877,Christian McCaffrey,RB,SF,,,,,,,,,,7,5,4,3,,,,,,16.7,3.0,0,0,17.1,4.8,15,19
245,24980,Ray Davis,RB,BUF,1,1,1,0,2,3,1,0,2,0,0,,1,0,2,1,1,3,5.6,1.7,4,5,3.7,1.1,17,19
246,24125,Jalin Hyatt,WR,NYG,1,0,1,1,0,4,1,,0,4,,0,2,2,0,2,0,1,3.3,1.0,1,3,3.4,1.2,8,19
247,23644,Stone Smartt,TE,LAC,0,0,0,0,,1,2,0,,,0,0,2,3,6,3,2,0,4.7,1.7,5,5,4.1,1.3,16,19
248,21801,Trey Sermon,RB,IND,0,1,0,0,6,0,1,1,2,1,1,0,0,,2,0,1,3,4.5,1.3,2,4,3.7,1.1,16,19
249,21593,D'Ernest Johnson,RB,JAX,0,0,1,0,3,2,4,2,1,0,0,,,,,2,2,2,6.5,2.0,4,6,4.4,1.4,12,19
250,21714,K.J. Osborn,WR,NE,6,2,0,5,,,3,1,,1,,,,,,,0,,0.0,0.0,0,0,7.6,2.2,7,18
251,24310,Jordan Mims,RB,NO,0,0,0,0,0,4,,,1,2,0,,,,,8,,3,15.3,5.5,8,11,5.4,1.6,12,18
252,16389,Odell Beckham Jr.,WR,MIA,,,,,1,,2,0,3,2,4,3,2,1,,,,,2.1,1.0,0,0,5.6,2.0,9,18
253,21688,Cam Akers,RB,MIN,,1,3,0,3,0,0,0,2,1,2,1,0,0,0,0,3,2,4.2,1.7,4,5,3.0,1.1,14,18
254,23482,Bo Melton,WR,GB,0,0,0,3,2,2,1,1,2,,0,1,0,0,0,1,4,0,5.9,1.7,3,5,3.5,1.0,8,17
255,23485,Daniel Bellinger,TE,NYG,1,0,1,0,0,0,1,0,0,0,,0,0,7,3,2,0,2,4.4,1.3,3,4,2.9,1.0,14,17
256,24121,Derius Davis,WR,LAC,0,0,0,0,,2,,,0,1,2,2,1,4,0,2,2,1,4.7,1.7,5,5,3.9,1.1,13,17
257,23468,Michael Woods II,WR,CLE,,,,,,,,,,,,,5,3,3,3,3,,7.4,3.0,1,6,7.9,3.4,7,17
258,19943,Durham Smythe,TE,MIA,3,1,2,0,1,,0,0,1,1,1,1,1,1,1,2,0,1,3.0,1.0,1,3,2.9,1.0,9,17
259,24339,Jake Bobo,WR,SEA,0,2,0,3,1,4,1,1,1,,0,1,0,0,1,1,0,1,2.2,0.7,2,2,2.9,1.0,13,17
260,21795,Luke Farrell,TE,JAX,0,2,2,1,2,0,0,0,1,2,2,,1,0,0,3,0,1,4.3,1.3,3,4,3.1,1.0,12,17
261,22645,Simi Fehoko,WR,LAC,0,0,3,0,,4,6,2,1,,,,,,,,,,3.7,1.0,0,0,7.1,2.0,6,16
262,23371,Isiah Pacheco,RB,KC,3,5,,,,,,,,,,,1,4,1,2,0,,2.5,1.0,1,2,6.3,2.3,12,16
