rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
98,22565,Chris Olave,NO,WR,44,32,400,1,5.1,1.7,94.1,6,5,83.3,12.5,9.1,2.2,0,0.0
99,19207,Tim Patrick,DET,WR,43,33,394,3,4.5,1.7,106.5,6,2,33.3,11.9,9.2,1.4,1,2.3
100,23368,Jalen Nailor,MIN,WR,43,28,414,6,5.4,1.8,84.8,4,2,50.0,14.8,9.6,1.1,4,9.3
101,21735,Gabe Davis,JAX,WR,42,20,239,2,5.7,1.4,80.0,7,2,28.6,11.9,5.7,1.0,0,0.0
102,23161,Jonathan Mingo,DAL,WR,42,17,167,0,4.9,1.4,89.5,7,3,42.9,9.8,4.0,0.7,1,2.4
103,21675,Tyler Johnson,LAR,WR,41,26,291,1,3.8,1.3,100.0,5,2,40.0,11.2,7.1,1.5,0,0.0
104,23729,Rashid Shaheed,NO,WR,41,20,349,3,5.1,1.4,95.2,5,1,20.0,17.4,8.5,2.2,0,0.0
105,22686,Dyami Brown,WAS,WR,40,30,308,1,5.6,2.4,88.2,5,1,20.0,10.3,7.7,1.3,2,5.0
106,21739,Van Jefferson,PIT,WR,40,24,276,2,5.5,1.4,96.0,7,3,42.9,11.5,6.9,0.8,1,2.5
107,19318,Kendrick Bourne,NE,WR,38,28,305,1,4.8,1.1,116.7,8,4,50.0,10.9,8.0,1.2,0,0.0
108,23160,John Metchie III,HOU,WR,37,24,254,1,4.3,1.7,88.9,8,4,50.0,10.6,6.9,1.1,0,0.0
109,25103,Malik Washington,MIA,WR,36,26,223,0,4.6,1.6,89.7,5,1,20.0,8.6,6.2,1.0,2,5.5
110,18914,Mike Williams,PIT,WR,34,21,298,1,4.5,0.8,91.3,10,5,50.0,14.2,8.8,0.9,1,2.9
111,24952,Ja'Lynn Polk,NE,WR,33,12,87,2,4.1,1.1,66.7,13,3,23.1,7.2,2.6,0.3,2,6.1
112,23155,Jahan Dotson,PHI,WR,33,19,216,0,5.7,1.8,90.5,5,1,20.0,11.4,6.5,0.6,0,0.0
113,19922,Justin Watson,KC,WR,32,22,289,2,4.6,1.8,88.0,5,2,40.0,13.1,9.0,0.8,3,9.4
114,24397,Jalen Brooks,DAL,WR,30,12,177,1,4.5,0.8,75.0,12,4,33.3,14.8,5.9,0.9,0,0.0
115,24120,Rashee Rice,KC,WR,29,24,288,2,5.4,2.3,92.3,2,1,50.0,12.0,9.9,3.4,1,3.4
116,16781,Nelson Agholor,BAL,WR,29,14,231,2,5.4,1.3,82.3,10,2,20.0,16.5,8.0,1.2,1,3.4
117,22644,DJ Turner,LV,WR,29,16,158,1,5.0,1.6,94.1,8,6,75.0,9.9,5.4,0.7,0,0.0
118,19854,Dante Pettis,NO,WR,28,12,120,1,5.0,1.0,120.0,3,0,0.0,10.0,4.3,1.7,0,0.0
119,25201,Jordan Whittington,LAR,WR,28,22,293,0,4.3,2.6,91.7,2,0,0.0,13.3,10.5,2.5,0,0.0
120,20013,Cedrick Wilson Jr.,NO,WR,27,20,211,1,5.2,2.2,83.3,3,1,33.3,10.6,7.8,1.1,1,3.7
121,14871,Robert Woods,HOU,WR,27,18,164,0,5.1,1.7,90.0,4,2,50.0,9.1,6.1,1.0,2,7.4
122,24347,Xavier Hutchinson,HOU,WR,26,12,117,0,4.6,1.1,92.3,5,2,40.0,9.8,4.5,0.5,0,0.0
123,25409,Mason Tipton,NO,WR,26,14,99,0,5.7,1.5,93.3,2,0,0.0,7.1,3.8,0.4,1,3.8
124,18883,JuJu Smith-Schuster,KC,WR,26,18,231,2,4.7,2.1,90.0,6,1,16.7,12.8,8.9,1.0,0,0.0
125,24987,Luke McCaffrey,WAS,WR,24,18,168,0,6.2,2.2,90.0,4,2,50.0,9.3,7.0,0.8,0,0.0
126,19017,Josh Reynolds,JAX,WR,24,13,194,1,5.2,0.9,81.2,7,2,28.6,14.9,8.1,1.0,1,4.2
127,18422,Kalif Raymond,DET,WR,22,17,215,2,5.2,2.6,100.0,2,0,0.0,12.6,9.8,1.7,0,0.0
128,23840,Kevin Austin Jr.,NO,WR,22,11,151,0,5.9,1.5,84.6,2,1,50.0,13.7,6.9,1.1,2,9.1
